Item Code,Item Name,Qty,Selling Price
4796028974190,Ln120 Polo Navy Xl,2,"8,990.00"
4796028974237,Ln120 Polo Black Xl,2,"8,990.00"
4796028974244,Ln120 Polo Navy Xxl,2,"8,990.00"
4796028974268,Ln120 Polo White Xxl,3,"8,990.00"
4796028974275,Ln120 Polo Maroon Xxl,1,"8,990.00"
4796028974305,Ln120 Polo Maroon L,1,"8,990.00"
4796028974381,Ln120 Polo White L,1,"8,990.00"
4796028974398,Ln120 Polo White Xl,3,"8,990.00"
4796028974985,Ln124 Polo White Xxl,1,"9,290.00"
4796028978815,Ln152 - Hoodies Black Xl,1,"14,400.00"
4796039981403,Ln 174 - Sweatshirt Black L,1,"16,900.00"
4796028978754,Ln151 - Shorts Black M,3,"6,400.00"
4796028978761,Ln151 - Shorts Black L,1,"6,400.00"
4796028978778,Ln151 - Shorts Black Xl,1,"6,400.00"
4796028974671,Ln120 Polo Ash Xl,1,"8,990.00"
4796028974350,Ln120 Polo Green Xl,1,"8,990.00"
4796028976835,Ln134 - Polo Navy S,1,"9,900.00"
4796028976873,Ln134 - Polo Navy 2xl,1,"9,900.00"
4796028976828,Ln134 - Polo Blue 2xl,1,"9,900.00"
4796028976958,Ln134 - Polo Beige L,1,"9,900.00"
4796028976965,Ln134 - Polo Beige Xl,1,"9,900.00"
4796028976972,Ln134 - Polo Beige 2xl,1,"9,900.00"
4796028976897,Ln134 - Polo L.H.Grey M,1,"9,900.00"
4796028976811,Ln134 Polo Blue Xl,2,"9,900.00"
4796028977207,Ln149 Crew Neck Latte L,1,"6,400.00"
4796028977214,Ln149 Crew Neck Latte Xl,1,"6,400.00"
4796028977276,Ln149 Crew Neck N/Blue M,3,"6,400.00"
4796028977283,Ln149 Crew Newck S/S N/Blue L,2,"6,400.00"
4796028977290,Ln149 Crew Neck N/Blue Xl,1,"6,400.00"
4796028977375,Ln155 Over Size Blue Xl,2,"6,900.00"
4796032355725,Ln191 2pcs Hoodies W/Bottom S/Brown Xl,1,"14,900.00"
4796028978167,Ln160 - Hoodies Brown L,1,"8,400.00"
4796028978228,Ln160 - Hoodies Pink S,1,"8,400.00"
4796039981915,Ln182 - Sweatshirt Beige 2xl,1,"12,900.00"
4796039983988,Ln209 Sweatshirt Azure Blue - Xxl,1,"12,900.00"
4796032357781,Ln214 S/S C/ Shirt Black S,2,"9,900.00"
4796032357798,Ln214 S/S C/ Shirt Black M,3,"9,900.00"
4796032357804,Ln214 S/S C/ Shirt Black L,2,"9,900.00"
4796032357811,Ln214 S/S C/ Shirt Black Xl,2,"9,900.00"
4796032357866,Ln214 S/S C/ Shirt Latte S,1,"9,900.00"
4796032357873,Ln214 S/S C/ Shirt Latte M,1,"9,900.00"
4796032357880,Ln214 S/S C/ Shirt Latte L,2,"9,900.00"
4796032357897,Ln214 S/S C/ Shirt Latte Xl,1,"9,900.00"
4796032357828,Ln214 S/S C/ Shirt White S,2,"9,900.00"
4796032357835,Ln214 S/S C/ Shirt White M,3,"9,900.00"
4796032357842,Ln214 S/S C/ Shirt White L,3,"9,900.00"
4796032357859,Ln214 S/S C/ Shirt White Xl,3,"9,900.00"
4796032358023,Ln 215 L/S C/Shirt Brown S,1,"12,900.00"
4796032357941,Ln 215 L/S C/Shirt Latte S,6,"12,900.00"
4796032357972,Ln 215 L/S C/Shirt Latte Xl,1,"12,900.00"
4796032358269,Ln229 Crew Neck Oversize Onyx Black S,1,"5,900.00"
4796032358276,Ln229 Crew Neck Oversize Onyx Black M,2,"5,900.00"
4796032358283,Ln229 Crew Neck Oversize Onyx Black L,4,"5,900.00"
4796032358306,Ln229 Crew Neck Oversize Teal Blue M,1,"5,900.00"
4796032358313,Ln229 Crew Neck Oversize Teal Blue L,4,"5,900.00"
4796032358344,Ln229 Crew Neck Oversize Salmon Pink L,2,"5,900.00"
4796032358368,Ln229 Crew Neck Oversize Off White M,1,"5,900.00"
4796032358238,Ln228 Over Size Crew Neck Sky Blue M,1,"6,900.00"
4796032358252,Ln228 Over Size Crew Neck Sky Blue Xl,3,"6,900.00"
4796028972936,Ln113 Lcy Polo T-Shirt Black M,1,"7,290.00"
4796028972950,Ln113 Lcy Polo T-Shirt Black Xl,3,"7,290.00"
4796028972998,Ln113 Lcy Polo T-Shirt White Xl,2,"7,290.00"
4796028973018,Ln113 Lcy Polo T-Shirt Ash M,1,"7,290.00"
